date,Month,Year,type,registration,operator,Fatalities,location,cat,Country,Manufacturer,Military / Commercial
1/1/1950,1,1950,Lockheed 414-08 Hudson IVA,VH-SMK,John Fairfax & Sons,2,near Camden Airpo...,A1,Australia,Lockheed ,C
1/5/1950,1,1950,Curtiss C-46A,PP-XBW,Comp. Itaú de Transportes Aéreos,0,Itaquaquecet...,A1,Brazil,Curtiss ,C
1/5/1950,1,1950,Lisunov Li-2,42 red,Soviet AF,19,Sverdlovsk-K...,A1,Russia,Lisunov ,M
1/6/1950,1,1950,Douglas VC-47A (DC-3),42-93509,USAF,0,Ankara,A1,Turkey,Douglas ,M
1/10/1950,1,1950,Douglas C-47B (DC-3),F-BEFQ,Air Nolis,0,near Zinder,A1,Niger,Douglas ,C
1/18/1950,1,1950,Douglas DC-3,PI-C184,Trans Asiatic Airlines,0,Yangon-Minga...,A1,Myanmar,Douglas ,C
1/18/1950,1,1950,CASA 352 (Ju-52),T.2-143,Spanish AF,16,near Tobarra,A1,Spain,CASA ,M
1/21/1950,1,1950,Douglas C-47 (DC-3),TAM-10,TAM,33,near Vacas,A1,Bolivia,Douglas ,C
1/22/1950,1,1950,Douglas DC-4-1009,F-BBDB,Air France,0,Paris-Orly A...,O1,France,Douglas ,C
1/24/1950,1,1950,Douglas C-47A (DC-3),PI-C22,Philippine Air Lines,4,between Iloi...,A1,Philippines,Douglas ,C
1/24/1950,1,1950,Douglas C-47A (DC-3),F-BFGD,STA,14,near Tamatave,A1,Madagascar,Douglas ,C
1/25/1950,1,1950,Douglas C-47A (DC-3),VT-CPQ,"Air Services of India, opb Airways (India)",2,Shella Airstrip,A1,India,Douglas ,C
1/26/1950,1,1950,Douglas C-54D (DC-4),42-72469,USMC,44,"near Snag, YT",A1,Canada,Douglas ,C
1/30/1950,1,1950,Douglas C-47B (DC-3),F-BEIH,Air Nolis,0,Le Treport,U1,France,Douglas ,C
1/30/1950,1,1950,Douglas C-47B (DC-3),45-1015,USAF,0,near Whitehorse A...,A1,Canada,Douglas ,M
1/31/1950,1,1950,Douglas C-47B (DC-3),45-1113,USAF,0,near La Tinta,A1,Guatemala,Douglas ,M
2/1/1950,2,1950,Shorts S.45 Solent 3,G-AHIX,BOAC,0,Southampton,A1,U.K.,Short ,C
