date,type,registration,operator,fat.,location,,pic,cat,
18264,Lockheed 414-08 Hudson IVA,VH-SMK,John Fairfax & Sons,2,near Camden Airpo...,,,A1,Australia
18268,Curtiss C-46A,PP-XBW,Comp. Itaú de Transportes Aéreos,0,Itaquaquecet...,,,A1,Brazil
18268,Lisunov Li-2,42 red,Soviet AF,19,Sverdlovsk-K...,,,A1,Russia
18269,Douglas VC-47A (DC-3),42-93509,USAF,,Ankara,,,A1,Turkey
18273,Douglas C-47B (DC-3),F-BEFQ,Air Nolis,,near Zinder,,,A1,Niger
18281,Douglas DC-3,PI-C184,Trans Asiatic Airlines,0,Yangon-Minga...,,,A1,Myanmar
18281,CASA 352 (Ju-52),T.2-143,Spanish AF,16,near Tobarra,,,A1,Spain
18284,Douglas C-47 (DC-3),TAM-10,TAM,32+ 1,near Vacas,,,A1,Bolivia
18285,Douglas DC-4-1009,F-BBDB,Air France,0,Paris-Orly A...,,,O1,France
18287,Douglas C-47A (DC-3),PI-C22,Philippine Air Lines,4,between Iloi...,,,A1,Philippines
18287,Douglas C-47A (DC-3),F-BFGD,STA,14,near Tamatave,,,A1,Madagascar
18288,Douglas C-47A (DC-3),VT-CPQ,"Air Services of India, opb Airways (India)",2,Shella Airstrip,,,A1,India
18289,Douglas C-54D (DC-4),42-72469,USMC,44,"near Snag, YT",,,A1,Canada
18293,Douglas C-47B (DC-3),F-BEIH,Air Nolis,,Le Treport,,,U1,France
18293,Douglas C-47B (DC-3),45-1015,USAF,0,near Whitehorse A...,,,A1,Canada
18294,Douglas C-47B (DC-3),45-1113,USAF,,near La Tinta,,,A1,Guatemala
18295,Shorts S.45 Solent 3,G-AHIX,BOAC,0,Southampton,,,A1,U.K.
18295,Fairchild C-82A Packet,44-22986,USAF,0,Mount Clemen...,,,A1,USA
18296,Douglas C-47A (DC-3),PH-TEU,KLM,7,near Dutch coast ...,,,A1,Atlantic Ocean
18297,Short Sunderland GR.5,PP118,RAF,0,Calshot RAF ...,,,O1,U.K.
18298,Douglas C-47D,43-49143,USAF,3,near Roosevelt Ro...,,,A1,Puerto Rico
18299,Curtiss C-46D,YV-C-AQE?,T.A. Transandino,0,Maracaibo,,,A2,Venezuela
18299,Douglas C-54A (DC-4),4X-ACD,El Al,0,Lydda Airpor...,,,A1,Israel
18300,Douglas C-47 (DC-3),FAC-665,Colombian AF,4,near Cali,,,A1,Colombia
18301,Douglas C-47D,45-1037,USAF,0,"near Pon Lake, YT",,,A1,Canada
18301,PB2B-1 Catalina,NZ4051,New Zealand AF,0,"Evans Bay, W...",,,A1,New Zealand
18303,Canadair C-4-1 North Star,CF-CPR,Canadian Pacific,0,Tokyo-Haneda...,,,A1,Japan
18303,Douglas C-54E (DC-4),44-9091,USAF,3,"near Raynesford, MT",,,A1,USA
18304,Douglas C-47D,43-48457,USAF,0,Los Angeles ...,,,A1,USA
18306,Junkers Ju-52/3m,CR-AAJ,DETA,0,"Lagoa Páti, ...",,,A1,Mozambique
18310,Douglas DC-3A,F-BAOD,Air France,0,Cotonou Airp...,,,A1,Benin
18315,Douglas C-47 (DC-3),FAC-664,Colombian AF,0,"near Campoalegre,...",,,A1,Colombia
18321,Douglas C-47A (DC-3),OK-WDY,CSA,6,Praded Mountain,,,A1,Czech Rep.
29-FEB-1950,Douglas Dakota IV (DC-3),KJ936,RCAF,0,"near Snag, YT",,,A1,Canada
18323,Douglas C-47 (DC-3),HK-507,SAM,2,Medellín-Enr...,,,A1,Colombia
